,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
4,"frozenset({'BEER', 'LIQUOR'})",frozenset({'KEGS'}),0.06100217864923747,0.13616557734204793,0.02178649237472767,0.35714285714285715,2.6228571428571428,1.0,0.0134800954998315,1.3437424352457032,0.6589327146171694,0.12422360248447208,0.2558097640064853,0.25857142857142856
7,frozenset({'KEGS'}),"frozenset({'BEER', 'LIQUOR'})",0.13616557734204793,0.06100217864923747,0.02178649237472767,0.16,2.6228571428571428,1.0,0.0134800954998315,1.1178545492270981,0.7162673392181589,0.12422360248447208,0.10542923433874711,0.25857142857142856
64,"frozenset({'NON-ALCOHOL', 'LIQUOR', 'WINE'})",frozenset({'BEER'}),0.02287581699346405,0.2570806100217865,0.015250544662309368,0.6666666666666667,2.593220338983051,1.0,0.00936961567488288,2.228758169934641,0.6287625418060201,0.05761316872427984,0.5513196480938417,0.3629943502824859
71,frozenset({'BEER'}),"frozenset({'NON-ALCOHOL', 'LIQUOR', 'WINE'})",0.2570806100217865,0.02287581699346405,0.015250544662309368,0.05932203389830508,2.5932203389830506,1.0,0.00936961567488288,1.038744626979921,0.8269794721407624,0.05761316872427984,0.037299472819001186,0.3629943502824859
37,"frozenset({'LIQUOR', 'WINE'})",frozenset({'NON-ALCOHOL'}),0.16666666666666666,0.05337690631808279,0.02287581699346405,0.13725490196078433,2.5714285714285716,1.0,0.013979665940450253,1.097222222222222,0.7333333333333333,0.11602209944751381,0.08860759493670887,0.28291316526610644
38,frozenset({'NON-ALCOHOL'}),"frozenset({'LIQUOR', 'WINE'})",0.05337690631808279,0.16666666666666666,0.02287581699346405,0.42857142857142855,2.5714285714285716,1.0,0.013979665940450253,1.4583333333333335,0.6455696202531646,0.11602209944751381,0.3142857142857142,0.28291316526610644
30,"frozenset({'NON-ALCOHOL', 'LIQUOR'})",frozenset({'KEGS'}),0.03159041394335512,0.13616557734204793,0.010893246187363835,0.3448275862068966,2.5324137931034483,1.0,0.006591719234292604,1.3184841187937164,0.624859392575928,0.06944444444444445,0.2415532460755751,0.2124137931034483
33,frozenset({'KEGS'}),"frozenset({'NON-ALCOHOL', 'LIQUOR'})",0.13616557734204793,0.03159041394335512,0.010893246187363835,0.08,2.5324137931034483,1.0,0.006591719234292604,1.0526191152789617,0.7005044136191677,0.06944444444444445,0.04998875140607424,0.2124137931034483
13,frozenset({'NON-ALCOHOL'}),"frozenset({'BEER', 'KEGS'})",0.05337690631808279,0.13071895424836602,0.017429193899782137,0.326530612244898,2.4979591836734696,1.0,0.010451820524869353,1.2907506436918204,0.6334867663981588,0.10457516339869283,0.2252570201012736,0.22993197278911565
8,"frozenset({'BEER', 'KEGS'})",frozenset({'NON-ALCOHOL'}),0.13071895424836602,0.05337690631808279,0.017429193899782137,0.13333333333333333,2.497959183673469,1.0,0.010451820524869353,1.0922574157868274,0.6898496240601504,0.10457516339869283,0.08446490218642118,0.22993197278911565
